# x psi2_state_0 psi2_state_1 psi2_state_2 psi2_state_3 psi2_state_4 psi2_state_5 psi2_state_6 psi2_state_7
-3.442409920000000234e-02 1.351576972104078138e-35 6.031453265565609413e-35 1.521414789902741796e-32 2.223808519067670755e-34 4.967061220116337747e-34 1.318581632386457594e-33 5.429676573964567292e-35 1.848698939204205285e-34
-3.362353869999999689e-02 4.200653081959838501e-34 8.155028408963698822e-33 3.025023283686790505e-34 4.512275274404905743e-33 2.726730129072591003e-33 1.039318480591598531e-33 2.342412670975803917e-33 2.094004969192206348e-33
-3.282297829999999972e-02 3.790122414496544151e-34 6.494465840657137972e-33 3.522218963311058862e-33 3.637809211001477186e-33 1.595623940516412252e-34 1.598623629447474766e-33 1.352509749819625811e-33 3.264928814764495472e-34
-3.202241780000000121e-02 1.843941283213919827e-33 1.415879936025487503e-34 8.345020063406889984e-34 1.526010847991328957e-34 3.822377123357370317e-36 5.652774077523663808e-33 2.129467780753972068e-34 2.158856450786386444e-34
-3.122185740000000057e-02 4.969400220138429421e-33 1.025574195380702304e-33 1.026555827624667699e-36 1.869169508597777326e-35 7.089443253382951078e-34 1.574102209982615288e-33 1.176158649178953962e-33 4.098713853099256976e-35
-3.042129689999999859e-02 1.815629866329797107e-34 2.198438882749203539e-34 6.649229998744917854e-34 2.695447409868445523e-33 1.611916347104361699e-35 5.102516772962107831e-35 6.174312909004021631e-35 1.496937278418632956e-33
-2.962073650000000141e-02 1.196635779752497211e-32 6.635778398196257076e-33 8.312253294318919485e-34 7.911969725139059922e-33 4.309777808691397276e-33 2.498768065968450472e-33 1.761665144748200075e-33 8.295552866113321602e-33
-2.882017599999999943e-02 3.668246959217009332e-33 6.999194159577949366e-33 2.847078803852726225e-35 3.751369565928829242e-34 2.386425481346679731e-35 1.422485034458789286e-32 3.300468842550478514e-34 8.847961173486488263e-36
-2.801961559999999879e-02 1.383526899944632536e-33 2.219172234702034707e-34 4.216477176076783402e-35 3.170421872359876820e-34 6.947849683370272340e-37 4.355429210667888403e-33 1.507084584722179523e-33 2.499683728368893017e-34
-2.721905520000000162e-02 1.708122263470281514e-34 9.113519489996802382e-33 1.285832161801609317e-33 4.593404419530936231e-33 1.237842090902931257e-32 6.915478453339185688e-35 6.517429325241258175e-35 7.306889974716104293e-34
-2.641849469999999964e-02 1.921674861203065783e-34 1.076627036080055497e-32 4.536573279441091494e-33 1.888789828871019960e-32 1.575333170054720640e-34 7.901916129360392836e-34 1.395766474809866258e-33 4.433601783358072271e-34
-2.561793429999999899e-02 3.156828964414843969e-34 1.813810666083668750e-33 1.676475550103797625e-31 3.944782569713560257e-33 6.651067041025980395e-33 4.435940644218928299e-33 8.597074766275860745e-34 1.882257428980101802e-33
-2.481737380000000048e-02 3.947119059789386527e-34 1.397552071306260324e-33 7.759020917837158629e-34 3.847682653745778412e-34 1.483288267010844158e-34 1.385683531347586185e-33 3.039640239649999139e-34 9.154224267261100090e-35
-2.401681339999999984e-02 9.171128004590737917e-33 1.217013027102240487e-33 2.005448427981177494e-34 2.316564740033424381e-32 4.814674503967714787e-33 3.786381030425394089e-32 2.027232157417221876e-33 6.088397469660378841e-33
-2.321625290000000133e-02 1.557001665578471513e-34 7.611109428154997846e-35 1.038207291070993462e-33 7.218945974297258449e-35 4.322539438326566230e-33 9.141562726048571793e-33 1.348454233512431816e-32 3.847789579897659068e-36
-2.241569250000000069e-02 1.187582050099932686e-33 8.186151729416960279e-33 3.186896671282009376e-33 3.038699671431563273e-36 1.218734366056845027e-33 1.657876767902237211e-33 1.442267057190432262e-33 9.035562502919949860e-33
